Lat,Lon,Dep,M,Region
0.18,96.55,10,4.3,Off West Coast of Northern Sumatra 
-3.12,128.35,10,3.2,Seram  
-6.35,111.13,10,3.3,Java  
-9.88,119.25,34,3.8,Sumba Region  
0.2,96.62,10,3.8,Off West Coast of Northern Sumatra 
0.28,96.81,19,3.2,Off West Coast of Northern Sumatra 
-8.53,119.33,137,2.8,Flores Region  
-10.55,107.97,23,4.4,South of Java  
0.23,96.59,11,4.3,Off West Coast of Northern Sumatra 
0.17,96.56,10,4.5,Off West Coast of Northern Sumatra 
-6.39,103.6,10,3.4,Southwest of Sumatra  
-9.61,112.85,10,4.2,South of Java  
0.16,96.52,10,3.8,Off West Coast of Northern Sumatra 
0.18,96.55,10,3.6,Off West Coast of Northern Sumatra 
-1.02,120.46,12,2.5,Sulawesi  
0.19,96.65,10,4.0,Off West Coast of Northern Sumatra 
-8.31,117.0,18,2.6,Sumbawa Region  
-6.98,130.6,119,5.9,Banda Sea 
0.12,96.77,10,3.7,Off West Coast of Northern Sumatra 
0.25,96.61,26,3.8,Off West Coast of Northern Sumatra 
0.22,96.65,11,4.3,Off West Coast of Northern Sumatra 
0.26,96.71,10,4.6,Off West Coast of Northern Sumatra 
0.2,96.54,12,4.9,Off West Coast of Northern Sumatra 
-6.78,105.09,19,3.5,Sunda Strait  
0.37,96.63,16,3.4,Off West Coast of Northern Sumatra 
0.29,96.61,13,3.6,Off West Coast of Northern Sumatra 
0.2,96.55,12,4.1,Off West Coast of Northern Sumatra 
2.56,128.43,209,4.4,Halmahera  
0.25,96.6,18,4.8,Off West Coast of Northern Sumatra 
-8.71,118.76,116,3.7,Sumbawa Region  
-2.86,127.6,10,2.9,Ceram Sea 
-5.51,103.51,27,3.0,Southern Sumatra  
-3.9,119.29,10,3.3,Sulawesi  
0.21,96.54,10,3.8,Off West Coast of Northern Sumatra 
0.18,96.64,13,4.6,Off West Coast of Northern Sumatra 
-0.36,99.17,17,2.9,Southern Sumatra  
-9.53,125.0,11,3.7,Timor Region 
-0.26,122.91,35,3.0,Minahassa Peninsula Sulawesi 
-0.13,122.48,19,2.8,Minahassa Peninsula Sulawesi 
0.22,96.6,10,4.9,Off West Coast of Northern Sumatra 
0.2,96.62,14,4.4,Off West Coast of Northern Sumatra 
0.25,96.6,12,3.9,Off West Coast of Northern Sumatra 
1.17,96.99,22,3.8,Off West Coast of Northern Sumatra 
0.22,96.59,10,4.0,Off West Coast of Northern Sumatra 
-2.81,129.35,10,3.7,Seram  
-2.52,120.96,10,2.4,Sulawesi  
0.26,96.62,11,4.3,Off West Coast of Northern Sumatra 
0.23,96.57,10,4.1,Off West Coast of Northern Sumatra 
0.23,96.56,10,4.1,Off West Coast of Northern Sumatra 
0.26,96.63,10,3.9,Off West Coast of Northern Sumatra 
